Year,Geographical Location,Income decile,Income,Highest-to-Lowest Average Income Ratio, Income Range
1976,Saskatchewan,Fifth decile,46100,NA,NA
1976,Saskatchewan,Sixth decile,55600,NA,NA
1976,Saskatchewan,Seventh decile,66300,NA,NA
1976,Saskatchewan,Eighth decile,77900,NA,NA
1976,Saskatchewan,Ninth decile,95300,NA,NA
1976,Saskatchewan,Highest decile,150700,NA,NA
1976,Alberta,Total deciles,66800,18.389473684210525,165200
1976,Alberta,Lowest decile,9500,NA,NA
1976,Alberta,Second decile,20700,NA,NA
1976,Alberta,Third decile,31800,NA,NA
1976,Alberta,Fourth decile,42400,NA,NA
1976,Alberta,Fifth decile,53100,NA,NA
1976,Alberta,Sixth decile,64300,NA,NA
1976,Alberta,Seventh decile,76400,NA,NA
1976,Alberta,Eighth decile,89100,NA,NA
1976,Alberta,Ninth decile,105600,NA,NA
1976,Alberta,Highest decile,174700,NA,NA
1976,British Columbia,Total deciles,67300,17.608247422680414,161100
1976,British Columbia,Lowest decile,9700,NA,NA
1976,British Columbia,Second decile,22800,NA,NA
1976,British Columbia,Third decile,33200,NA,NA
1976,British Columbia,Fourth decile,44400,NA,NA
1976,British Columbia,Fifth decile,55500,NA,NA
1976,British Columbia,Sixth decile,65100,NA,NA
1976,British Columbia,Seventh decile,75500,NA,NA
1976,British Columbia,Eighth decile,89200,NA,NA
1976,British Columbia,Ninth decile,107000,NA,NA
1976,British Columbia,Highest decile,170800,NA,NA
1977,Canada,Total deciles,62200,17.876543209876544,136700
1977,Canada,Lowest decile,8100,NA,NA
1977,Canada,Second decile,20300,NA,NA
1977,Canada,Third decile,31500,NA,NA
1977,Canada,Fourth decile,42300,NA,NA
1977,Canada,Fifth decile,52600,NA,NA
1977,Canada,Sixth decile,62500,NA,NA
1977,Canada,Seventh decile,72500,NA,NA
1977,Canada,Eighth decile,85000,NA,NA
1977,Canada,Ninth decile,101900,NA,NA
1977,Canada,Highest decile,144800,NA,NA
1977,Atlantic provinces,Total deciles,54200,14.811764705882354,117400
1977,Atlantic provinces,Lowest decile,8500,NA,NA
1977,Atlantic provinces,Second decile,18800,NA,NA
1977,Atlantic provinces,Third decile,27700,NA,NA
1977,Atlantic provinces,Fourth decile,36400,NA,NA
1977,Atlantic provinces,Fifth decile,45000,NA,NA
1977,Atlantic provinces,Sixth decile,53700,NA,NA
1977,Atlantic provinces,Seventh decile,63100,NA,NA
1977,Atlantic provinces,Eighth decile,74100,NA,NA
1977,Atlantic provinces,Ninth decile,88700,NA,NA
1977,Atlantic provinces,Highest decile,125900,NA,NA
1977,Newfoundland and Labrador,Total deciles,55400,12.958333333333334,114800
1977,Newfoundland and Labrador,Lowest decile,9600,NA,NA
1977,Newfoundland and Labrador,Second decile,21000,NA,NA
1977,Newfoundland and Labrador,Third decile,29200,NA,NA
1977,Newfoundland and Labrador,Fourth decile,38000,NA,NA
1977,Newfoundland and Labrador,Fifth decile,46800,NA,NA
1977,Newfoundland and Labrador,Sixth decile,55500,NA,NA
1977,Newfoundland and Labrador,Seventh decile,65100,NA,NA
1977,Newfoundland and Labrador,Eighth decile,75300,NA,NA
1977,Newfoundland and Labrador,Ninth decile,88400,NA,NA
1977,Newfoundland and Labrador,Highest decile,124400,NA,NA
1977,Prince Edward Island,Total deciles,52500,17.91176470588235,115000
1977,Prince Edward Island,Lowest decile,6800,NA,NA
1977,Prince Edward Island,Second decile,18200,NA,NA
1977,Prince Edward Island,Third decile,27500,NA,NA
1977,Prince Edward Island,Fourth decile,35700,NA,NA
1977,Prince Edward Island,Fifth decile,43900,NA,NA
1977,Prince Edward Island,Sixth decile,53000,NA,NA
1977,Prince Edward Island,Seventh decile,61600,NA,NA
1977,Prince Edward Island,Eighth decile,72200,NA,NA
1977,Prince Edward Island,Ninth decile,84500,NA,NA
1977,Prince Edward Island,Highest decile,121800,NA,NA
1977,Nova Scotia,Total deciles,53300,15.109756097560975,115700
1977,Nova Scotia,Lowest decile,8200,NA,NA
1977,Nova Scotia,Second decile,17400,NA,NA
1977,Nova Scotia,Third decile,27000,NA,NA
1977,Nova Scotia,Fourth decile,35500,NA,NA
1977,Nova Scotia,Fifth decile,43700,NA,NA
1977,Nova Scotia,Sixth decile,52700,NA,NA
1977,Nova Scotia,Seventh decile,62300,NA,NA
1977,Nova Scotia,Eighth decile,73700,NA,NA
1977,Nova Scotia,Ninth decile,88500,NA,NA
1977,Nova Scotia,Highest decile,123900,NA,NA
1977,New Brunswick,Total deciles,54800,15.116279069767442,121400
1977,New Brunswick,Lowest decile,8600,NA,NA
1977,New Brunswick,Second decile,19200,NA,NA
1977,New Brunswick,Third decile,27600,NA,NA
1977,New Brunswick,Fourth decile,36800,NA,NA
1977,New Brunswick,Fifth decile,45500,NA,NA
1977,New Brunswick,Sixth decile,53700,NA,NA
1977,New Brunswick,Seventh decile,62800,NA,NA
1977,New Brunswick,Eighth decile,74100,NA,NA
1977,New Brunswick,Ninth decile,89800,NA,NA
1977,New Brunswick,Highest decile,130000,NA,NA
1977,Quebec,Total deciles,60000,15.761363636363637,129900
1977,Quebec,Lowest decile,8800,NA,NA
1977,Quebec,Second decile,20900,NA,NA
1977,Quebec,Third decile,31000,NA,NA
1977,Quebec,Fourth decile,41600,NA,NA
1977,Quebec,Fifth decile,51000,NA,NA
1977,Quebec,Sixth decile,60300,NA,NA
1977,Quebec,Seventh decile,69500,NA,NA
1977,Quebec,Eighth decile,80900,NA,NA
1977,Quebec,Ninth decile,96800,NA,NA
1977,Quebec,Highest decile,138700,NA,NA
1977,Ontario,Total deciles,65900,16.703296703296704,142900
1977,Ontario,Lowest decile,9100,NA,NA
1977,Ontario,Second decile,21500,NA,NA
1977,Ontario,Third decile,34400,NA,NA
1977,Ontario,Fourth decile,46300,NA,NA
1977,Ontario,Fifth decile,56600,NA,NA
1977,Ontario,Sixth decile,66300,NA,NA
1977,Ontario,Seventh decile,76200,NA,NA
1977,Ontario,Eighth decile,89400,NA,NA
1977,Ontario,Ninth decile,106900,NA,NA
1977,Ontario,Highest decile,152000,NA,NA
1977,Prairie provinces,Total deciles,60600,33.674418604651166,140500
1977,Prairie provinces,Lowest decile,4300,NA,NA
1977,Prairie provinces,Second decile,18800,NA,NA
1977,Prairie provinces,Third decile,29700,NA,NA
1977,Prairie provinces,Fourth decile,39500,NA,NA
1977,Prairie provinces,Fifth decile,49900,NA,NA
1977,Prairie provinces,Sixth decile,60500,NA,NA
1977,Prairie provinces,Seventh decile,71600,NA,NA
1977,Prairie provinces,Eighth decile,84800,NA,NA
1977,Prairie provinces,Ninth decile,102500,NA,NA
1977,Prairie provinces,Highest decile,144800,NA,NA
1977,Manitoba,Total deciles,56200,19.434782608695652,127200
1977,Manitoba,Lowest decile,6900,NA,NA
1977,Manitoba,Second decile,16100,NA,NA
1977,Manitoba,Third decile,26200,NA,NA
1977,Manitoba,Fourth decile,36300,NA,NA
1977,Manitoba,Fifth decile,46800,NA,NA
1977,Manitoba,Sixth decile,56500,NA,NA
1977,Manitoba,Seventh decile,66200,NA,NA
1977,Manitoba,Eighth decile,78400,NA,NA
1977,Manitoba,Ninth decile,93900,NA,NA
1977,Manitoba,Highest decile,134100,NA,NA
1977,Saskatchewan,Total deciles,56200,18.066666666666666,128000
1977,Saskatchewan,Lowest decile,7500,NA,NA
1977,Saskatchewan,Second decile,17600,NA,NA
1977,Saskatchewan,Third decile,27200,NA,NA
1977,Saskatchewan,Fourth decile,36500,NA,NA
1977,Saskatchewan,Fifth decile,45600,NA,NA
1977,Saskatchewan,Sixth decile,55500,NA,NA
1977,Saskatchewan,Seventh decile,65000,NA,NA
1977,Saskatchewan,Eighth decile,77000,NA,NA
1977,Saskatchewan,Ninth decile,94300,NA,NA
1977,Saskatchewan,Highest decile,135500,NA,NA
1977,Alberta,Total deciles,65000,89.82352941176471,151000
1977,Alberta,Lowest decile,1700,NA,NA
1977,Alberta,Second decile,21300,NA,NA
1977,Alberta,Third decile,32600,NA,NA
1977,Alberta,Fourth decile,42800,NA,NA
1977,Alberta,Fifth decile,54100,NA,NA
1977,Alberta,Sixth decile,65800,NA,NA
1977,Alberta,Seventh decile,77900,NA,NA
1977,Alberta,Eighth decile,91600,NA,NA
1977,Alberta,Ninth decile,109100,NA,NA
1977,Alberta,Highest decile,152700,NA,NA
1977,British Columbia,Total deciles,63400,16.563218390804597,135400
1977,British Columbia,Lowest decile,8700,NA,NA
1977,British Columbia,Second decile,19400,NA,NA
1977,British Columbia,Third decile,31200,NA,NA
1977,British Columbia,Fourth decile,42200,NA,NA
1977,British Columbia,Fifth decile,54100,NA,NA
1977,British Columbia,Sixth decile,64900,NA,NA
1977,British Columbia,Seventh decile,75600,NA,NA
1977,British Columbia,Eighth decile,88400,NA,NA
1977,British Columbia,Ninth decile,105200,NA,NA
1977,British Columbia,Highest decile,144100,NA,NA
1978,Canada,Total deciles,63200,17.28409090909091,143300
1978,Canada,Lowest decile,8800,NA,NA
1978,Canada,Second decile,21200,NA,NA
1978,Canada,Third decile,31800,NA,NA
1978,Canada,Fourth decile,42600,NA,NA
1978,Canada,Fifth decile,52900,NA,NA
1978,Canada,Sixth decile,62600,NA,NA
1978,Canada,Seventh decile,72900,NA,NA
1978,Canada,Eighth decile,84900,NA,NA
1978,Canada,Ninth decile,102400,NA,NA
1978,Canada,Highest decile,152100,NA,NA
1978,Atlantic provinces,Total deciles,54900,14.586206896551724,118200
1978,Atlantic provinces,Lowest decile,8700,NA,NA
1978,Atlantic provinces,Second decile,19500,NA,NA
1978,Atlantic provinces,Third decile,28700,NA,NA
1978,Atlantic provinces,Fourth decile,36900,NA,NA
1978,Atlantic provinces,Fifth decile,45300,NA,NA
1978,Atlantic provinces,Sixth decile,54600,NA,NA
1978,Atlantic provinces,Seventh decile,63700,NA,NA
1978,Atlantic provinces,Eighth decile,75000,NA,NA
1978,Atlantic provinces,Ninth decile,89400,NA,NA
1978,Atlantic provinces,Highest decile,126900,NA,NA
1978,Newfoundland and Labrador,Total deciles,55200,11.439252336448599,111700
1978,Newfoundland and Labrador,Lowest decile,10700,NA,NA
1978,Newfoundland and Labrador,Second decile,22000,NA,NA
1978,Newfoundland and Labrador,Third decile,29800,NA,NA
1978,Newfoundland and Labrador,Fourth decile,37800,NA,NA
1978,Newfoundland and Labrador,Fifth decile,46300,NA,NA
1978,Newfoundland and Labrador,Sixth decile,54700,NA,NA
1978,Newfoundland and Labrador,Seventh decile,64000,NA,NA
1978,Newfoundland and Labrador,Eighth decile,75600,NA,NA
1978,Newfoundland and Labrador,Ninth decile,89000,NA,NA
1978,Newfoundland and Labrador,Highest decile,122400,NA,NA
1978,Prince Edward Island,Total deciles,51700,NA,NA
1978,Nova Scotia,Total deciles,55400,15.870588235294118,126400
1978,Nova Scotia,Lowest decile,8500,NA,NA
1978,Nova Scotia,Second decile,18500,NA,NA
1978,Nova Scotia,Third decile,28500,NA,NA
1978,Nova Scotia,Fourth decile,37000,NA,NA
1978,Nova Scotia,Fifth decile,44700,NA,NA
1978,Nova Scotia,Sixth decile,53200,NA,NA
1978,Nova Scotia,Seventh decile,62800,NA,NA
1978,Nova Scotia,Eighth decile,75100,NA,NA
1978,Nova Scotia,Ninth decile,91300,NA,NA
1978,Nova Scotia,Highest decile,134900,NA,NA
1978,New Brunswick,Total deciles,54400,13.732558139534884,109500
1978,New Brunswick,Lowest decile,8600,NA,NA
1978,New Brunswick,Second decile,19900,NA,NA
1978,New Brunswick,Third decile,28400,NA,NA
1978,New Brunswick,Fourth decile,37300,NA,NA
1978,New Brunswick,Fifth decile,46900,NA,NA
1978,New Brunswick,Sixth decile,56900,NA,NA
1978,New Brunswick,Seventh decile,65000,NA,NA
1978,New Brunswick,Eighth decile,75400,NA,NA
1978,New Brunswick,Ninth decile,87900,NA,NA
1978,New Brunswick,Highest decile,118100,NA,NA
1978,Quebec,Total deciles,60400,13.018691588785046,128600
1978,Quebec,Lowest decile,10700,NA,NA
1978,Quebec,Second decile,21700,NA,NA
